titol,url,estat,pdfs,Accés al tràmit,Altres requisits,Data de la prova,Expedient,Finalització de presentació de sol·licituds,Grup de titulació o assimilat,Identificador,Inici de presentació de sol·licituds,Matèries,Observacions,Sistema de selecció,Tipus de personal,Titulació requerida,Torn reservat,Web de l'ens convocant
1 plaça de Cap de la Unitat d'Informàtica,https://cido.diba.cat/oposicions/21246820/1-placa-de-cap-de-la-unitat-dinformatica-ajuntament-damposta,Termini obert,"https://portaldogc.gencat.cat/utilsEADOP/AppJava/PdfProviderServlet?documentId=1017518&type=01&language=ca_ES, https://www.dipta.cat/bopt/web/anunci/347253, https://www.dipta.cat/bopt/web/anunci/357418, https://portaldogc.gencat.cat/utilsEADOP/AppJava/PdfProviderServlet?documentId=1039900&type=01&language=ca_ES, https://www.boe.es/boe/dias/2026/03/27/pdfs/BOE-A-2026-7076.pdf",,Nivell C1 de català,,1458/2026/100,16/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260313O12,,Informàtica,,Concurs oposició o valoració de mèrits i prova,Funcionari,Grau Universitari en Enginyeria Informàtica o equivalent,,https://www.amposta.cat/ca/n3/ajuntament/empleats-publics/ofertes-publiques-de-treball
1 plaça d'European Health Projects Specialist - Project Manager (Childhood cancer and blood disorders),https://cido.diba.cat/oposicions/21323004/1-placa-deuropean-health-projects-specialist-project-manager-childhood-cancer-and-blood-disorders-fundacio-hospital-universitari-vall-dhebron-institut-de-recerca-huvh-ir,Termini obert,https://jobs.vhir.org/en-GB/jobs/internal/1e9b06ef-d511-48c2-a3a8-c3ecb38a6293,https://jobs.vhir.org/en-GB/jobs/internal/1e9b06ef-d511-48c2-a3a8-c3ecb38a6293,Anglès,,,09/04/2026,A - Grau universitari,20260326O44,,"Biologia, Farmàcia, Informàtica, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,"Grau en ciències, com ara Biologia, Bioinformàtica, Biotecnologia o Farmàcia",,https://vhir.vallhebron.com/ca/talent/ofertes-de-feina
1 plaça de Predoctoral Position (PhD Student),https://cido.diba.cat/oposicions/21324841/1-placa-de-predoctoral-position-phd-student-institut-dinvestigacio-oncologica-de-vall-dhebron-vhio,Termini obert,https://jobs.vhio.net/en/jobs/7469321-2026-026-01-predoctoral-position-phd-student,https://jobs.vhio.net/en/jobs/7469321-2026-026-01-predoctoral-position-phd-student,Anglès,,2026-026-01,01/05/2026,A - Grau universitari,20260326O95,,"Administració especial sense especificar, Biologia, Informàtica, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,"Grau o Màster en bioinformàtica, matemàtiques, ciències biològiques o un camp relacionat",,https://jobs.vhio.net/jobs
1 plaça de Tècnic de Màrqueting SEO/GEO Specialist,https://cido.diba.cat/oposicions/21324748/1-placa-de-tecnic-de-marqueting-seogeo-specialist-universitat-oberta-de-catalunya-uoc,Termini obert,https://selection.uoc.edu/web/offersjob/offerdetails.aspx?offerID=57B9DBD9C16CD547B0EAE358ECC64517A0A17BA03839562E21718249BA8E2F64,https://selection.uoc.edu/web/profile/login.aspx,,,,09/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260326O89,,"Comunicació, Noves tecnologies, Relacions públiques / Publicitat",,Concurs o valoració de mèrits,Laboral temporal,Vegeu les bases,,https://selection.uoc.edu/web/offersjob/offers.aspx?y=PP#302e2b50ab556b5c8622add3e8a1b1c1
1 plaça d'Especialista en Optimització de Continguts i IA,https://cido.diba.cat/oposicions/21324730/1-placa-despecialista-en-optimitzacio-de-continguts-i-ia-universitat-oberta-de-catalunya-uoc,Termini obert,https://selection.uoc.edu/web/offersjob/offerdetails.aspx?offerID=C408AEECA1948D043F1FA436D29ECFB31B02E3AF4BF5DA9AF94E0689CBD1A4E0,https://selection.uoc.edu/web/profile/login.aspx,,,,07/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260326O87,,"Comunicació, Enginyeria de telecomunicacions, Noves tecnologies, Relacions públiques / Publicitat",,Concurs o valoració de mèrits,Laboral temporal,Vegeu les bases,,https://selection.uoc.edu/web/offersjob/offers.aspx?y=PP#302e2b50ab556b5c8622add3e8a1b1c1
Borsa de treball de places de Tècnic d'informàtica,https://cido.diba.cat/oposicions/21306062/borsa-de-treball-de-places-de-tecnic-dinformatica-ajuntament-desplugues-de-llobregat,Pendent de termini,http://bop.diba.cat/anunci/3912623,https://esplugues.convoca.online/,Nivell C1 de català,,,El termini s'obrirà l'endemà de la publicació de la convocatòria al DOGC i serà de 10 dies hàbils,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",20260325O2,,Informàtica,,Concurs o valoració de mèrits,Interí o temporal,Cicle formatiu grau superior de sistemes microinformàtics i xarxes,,https://www.esplugues.cat/oferta-publica-ocupacio/
Borsa de treball de places de Tècnic informàtic de sistemes,https://cido.diba.cat/oposicions/21306057/borsa-de-treball-de-places-de-tecnic-informatic-de-sistemes-ajuntament-desplugues-de-llobregat,Pendent de termini,http://bop.diba.cat/anunci/3912623,https://esplugues.convoca.online/,Nivell C1 de català,,,El termini s'obrirà l'endemà de la publicació de la convocatòria al DOGC i serà de 10 dies hàbils,A1 - Grau universitari (correspondència amb llicenciatures),20260325O1,,"Enginyeria sense especificar, Informàtica",,Concurs o valoració de mèrits,Interí o temporal,Titulació universitària en Enginyeria Informàtica,,https://www.esplugues.cat/oferta-publica-ocupacio/
1 plaça de Tècnic mitjà de suport a la recerca (G3) pel grup Imatge dels trastorns relacionats amb l'estat d'ànim i l'ansietat (IMARD),https://cido.diba.cat/oposicions/21317567/1-placa-de-tecnic-mitja-de-suport-a-la-recerca-g3-pel-grup-imatge-dels-trastorns-relacionats-amb-lestat-danim-i-lansietat-imard-fundacio-de-recerca-clinic-barcelona-institut-dinvestigacions-biomediques-august-pi-i-sunyer,Termini obert,https://www.clinicbarcelona.org/uploads/media/default/0022/31/5c8549d7d3af012579ae66f0d4257aab26dd1171.pdf,FCRBRRHH@recerca.clinic.cat,"Català, castellà i anglès",,FU-111/2026,08/04/2026,A - Grau universitari,20260325O125,,"Biologia, Informàtica, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,Grau en Bioinformàtica o similar,,https://www.clinicbarcelona.org/ca/idibaps/trabajar-idibaps/ofertes-de-treball
1 plaça de Responsable de digitalització ambiental i energètica,https://cido.diba.cat/oposicions/21315283/1-placa-de-responsable-de-digitalitzacio-ambiental-i-energetica-ministerio-de-transportes-y-movilidad-sostenible-autoridad-portuaria-de-barcelona,Termini obert,https://seleccio.portdebarcelona.cat/documents/4840225/13418501/report_01.+Bases+Resp.+digitalitzacio+ambiental+i+energetica.pdf/73a02d15-278f-786c-ec45-7d2575c7d2eb?t=1774432301045,https://seleccio.portdebarcelona.cat/ca/web/seleccio/responsable-de-digitalitzacio-ambiental-i-energetica,Nivell C de  català / Nivell B1 d'anglès / Domini de la llengua espanyola / Permís de conduir B,,,24/04/2026 12:00 h,A - Grau universitari,20260325O64,,"Enginyeria de telecomunicacions, Enginyeria industrial, Geografia, Geologia, Medi ambient, Noves tecnologies",,Concurs oposició o valoració de mèrits i prova,Laboral,Vegeu les bases,,https://seleccio.portdebarcelona.cat/web/seleccio/llistat-ofertes
1 plaça de Tècnic superior de suport / Senior support technician,https://cido.diba.cat/oposicions/21318622/1-placa-de-tecnic-superior-de-suport-senior-support-technician-universitat-pompeu-fabra-upf,Termini obert,https://www.upf.edu/documents/d/enginyeria/eng-psr-d-det-2026-14_vf-docx-pdf,http://recerca.enginyeria@upf.edu,,,ENG-PSR-D.DET-2026-14,27/04/2026,A - Grau universitari,20260325O137,,"Administració especial sense especificar, Enginyeria de telecomunicacions, Enginyeria sense especificar, Informàtica, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,"Grau en Enginyeria Informàtica, Matemàtiques, Telecomunicacions o camps afins",,https://www.upf.edu/web/enginyeria/convocatories-psr
"1 plaça de Tècnic d'estudis i anàlisi, implantació i manteniment de tecnologia bus",https://cido.diba.cat/oposicions/21303023/1-plaaa-de-tacnic-destudis-i-analisi-implantacia-i-manteniment-de-tecnologia-bus-area-metropolitana-de-barcelona-amb-transports-de-barcelona-sa,Termini obert,http://bop.diba.cat/anunci/3914286,,Permís de conduir B,,10174,31/03/2026,A2 - Grau universitari (correspondència amb diplomatures),20260324O28,,"Enginyeria agrònoma, Enginyeria de camins, canals i ports, Enginyeria de telecomunicacions, Enginyeria d'obres públiques, Enginyeria forestal, Enginyeria industrial, Enginyeria sense especificar, Informàtica",,Oposició o prova,Laboral,"Titulació oficial, homologada i finalitzada d'Enginyeria (Superior i/o Tècnica/Grau) en Electrònica, Telecomunicacions, Informàtica o similars",,https://www.tmb.cat/ca/treball-i-practiques/estat-processos-seleccio
"1 plaça de Tècnic d'estudis i anàlisi, implantació i manteniment de tecnologia bus",https://cido.diba.cat/oposicions/21303044/1-plaaa-de-tacnic-destudis-i-analisi-implantacia-i-manteniment-de-tecnologia-bus-area-metropolitana-de-barcelona-amb-transports-de-barcelona-sa,Termini obert,http://bop.diba.cat/anunci/3914287,,Permís de conduir B,,10175,31/03/2026,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",20260324O29,,"Informàtica, Obres / Manteniment",,Oposició o prova,Laboral,"Titulació oficial, homologada i finalitzada, de CFGS/FPII en les famílies professionals d'Electricitat i Electrònica, Informàtica i Comunicacions o Instal·lació i Manteniment",,https://www.tmb.cat/ca/treball-i-practiques/estat-processos-seleccio
1 plaça de Head of the Machine Learning for Biomedical Research unit (R4),https://cido.diba.cat/oposicions/21310585/1-placa-de-head-of-the-machine-learning-for-biomedical-research-unit-r4-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,https://www.bsc.es/ca/join-us/job-opportunities/14726lsmlbrr4,https://www.bsc.es/ca/join-us/job-opportunities/14726lsmlbrr4,Anglès,,147_26_LS_MLBR_R4,07/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260323O133,,"Biologia, Informàtica, Recerca / Laboratori, Sanitat / Medicina",,Concurs o valoració de mèrits,Laboral temporal,"Doctorat en Bioinformàtica, Informàtica, Enginyeria Biomèdica, Física o similar",,https://www.bsc.es/ca/join-us/job-opportunities
1 plaça de HPC Workflows Engineer (RE1-RE2),https://cido.diba.cat/oposicions/21310589/1-placa-de-hpc-workflows-engineer-re1-re2-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,https://www.bsc.es/ca/join-us/job-opportunities/14826escesre2,https://www.bsc.es/ca/join-us/job-opportunities/14826escesre2,,,148_26_ES_CES_RE2,24/04/2026,A - Grau universitari,20260323O134,,"Física, Informàtica, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,"Grau en Informàtica, Física o una disciplina relacionada",,https://www.bsc.es/ca/join-us/job-opportunities
1 plaça de Master student for audio visual processing and visualization (R0),https://cido.diba.cat/oposicions/21310597/1-placa-de-master-student-for-audio-visual-processing-and-visualization-r0-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,https://www.bsc.es/ca/join-us/job-opportunities/15026casedpppr0,https://www.bsc.es/ca/join-us/job-opportunities/15026casedpppr0,Matriculat en un màster universitari oficial en Enginyeria Audiovisual o estudis similars / Anglès,,150_26_CASE_DPPP_R0,08/04/2026,A1 - Grau universitari (correspondència amb llicenciatures),20260323O136,,"Administració especial sense especificar, Enginyeria sense especificar, Imatge i so, Noves tecnologies, Recerca / Laboratori",,Concurs o valoració de mèrits,Laboral temporal,"Grau en Enginyeria Audiovisual, Enginyeria del Programari o estudis similars",,https://www.bsc.es/ca/join-us/job-opportunities
